trade_no,direction,entry_time,exit_time,entry_price,exit_price,notional,pnl,fees,funding,liquidated,liq_price_est,liq_loss,net_trade,balance_before,balance_after,exit_reason
1,short,2021-01-19 22:00:00+00:00,2021-01-20 00:15:00+00:00,0.031159498943093944,0.030956284466454126,200.0,1.3043500924770655,0.22,0.02,False,0.03402617284585859,0.0,1.1043500924770655,1000.0,1001.104350092477,short_exit_LB
2,short,2021-01-20 01:15:00+00:00,2021-01-20 02:15:00+00:00,0.030763646134841043,0.030542851387653905,200.22087001849542,1.437011600756115,0.22024295702034496,0.0,False,0.033593901579246424,0.0,1.2167686437357699,1001.104350092477,1002.3211187362128,short_exit_LB
3,long,2021-01-20 02:15:00+00:00,2021-01-20 03:00:00+00:00,0.03054285346867643,0.03099373918752633,200.46422374724258,2.9593323924583466,0.22051064612196686,0.0,False,0.0277329109495582,0.0,2.7388217463363795,1002.3211187362128,1005.0599404825492,long_exit_LH
4,short,2021-01-20 06:15:00+00:00,2021-01-20 12:15:00+00:00,0.030756319196448355,0.029632126988626016,201.01198809650984,7.34730671942916,0.22111318690616083,0.020101198809650986,False,0.03358590056252161,0.0,7.146294731332651,1005.0599404825492,1012.2062352138819,short_exit_LB
5,short,2021-01-20 14:15:00+00:00,2021-01-20 16:15:00+00:00,0.029913248931936195,0.02993382917286642,202.44124704277638,-0.13927907489539762,0.22268537174705402,0.02024412470427764,False,0.03266526783367433,0.0,-0.34172032193817403,1012.2062352138819,1011.8645148919437,short_exit_LB
6,long,2021-01-20 16:15:00+00:00,2021-01-20 20:15:00+00:00,0.02993382873741289,0.030202121875979347,202.37290297838877,1.8138428524185333,0.22261019327622766,0.0,False,0.027179916493570905,0.0,1.5912326591423056,1011.8645148919437,1013.455747551086,long_exit_LH
7,long,2021-01-20 21:30:00+00:00,2021-01-21 00:15:00+00:00,0.03003957327852414,0.03032277559902035,202.6911495102172,1.9108994443132052,0.22296026446123893,-0.02026911495102172,False,0.02727593253689992,0.0,1.6676700649009446,1013.455747551086,1015.1234176159869,long_exit_LH
8,short,2021-01-21 04:45:00+00:00,2021-01-21 05:30:00+00:00,0.029708470814205648,0.02981808310086539,203.02468352319738,-0.7490792760261215,0.22332715187551713,0.0,False,0.03244165012911257,0.0,-0.9724064279016386,1015.1234176159869,1014.1510111880852,short_exit_LB
9,short,2021-01-21 06:45:00+00:00,2021-01-21 12:15:00+00:00,0.029835254425782224,0.02848302576956425,202.83020223761707,9.192910102190345,0.2231132224613788,0.02028302022376171,False,0.032580097832954194,0.0,8.990079899952727,1014.1510111880852,1023.141091088038,short_exit_LB
10,short,2021-01-21 13:30:00+00:00,2021-01-21 16:15:00+00:00,0.0288170507697548,0.02865117165278943,204.62821821760764,1.177898058178781,0.22509104003936842,0.020462821821760766,False,0.031468219440572244,0.0,0.9732698399611733,1023.141091088038,1024.114360927999,short_exit_LB
11,long,2021-01-21 16:15:00+00:00,2021-01-21 16:30:00+00:00,0.028651172838816272,0.028324993515142352,204.8228721855998,-2.33180632074987,0.2253051594041598,0.0,False,0.026015264937645177,0.0,-2.55711148015403,1024.114360927999,1021.557249447845,long_exit_LH
12,short,2021-01-21 16:30:00+00:00,2021-01-21 17:15:00+00:00,0.028324996617933976,0.028361793829556694,204.31144988956902,-0.26542250860395966,0.22474259487852594,0.0,False,0.030930896306783903,0.0,-0.4901651034824856,1021.557249447845,1021.0670843443626,short_exit_LB
13,short,2021-01-22 07:15:00+00:00,2021-01-22 08:15:00+00:00,0.027672284379450827,0.027559048815604708,204.2134168688725,0.8356455537606833,0.2246347585557598,-0.0625607802577791,False,0.030218134542360307,0.0,0.5484500149471444,1021.0670843443626,1021.6155343593097,short_exit_LB
14,long,2021-01-22 08:15:00+00:00,2021-01-22 10:00:00+00:00,0.027559049397998994,0.027783120601097472,204.32310687186197,1.66126645793963,0.22475541755904818,0.0,False,0.02502361685338309,0.0,1.4365110403805816,1021.6155343593097,1023.0520453996902,long_exit_LH
15,short,2021-01-22 10:00:00+00:00,2021-01-22 10:30:00+00:00,0.027783118960513015,0.027789706657644315,204.61040907993805,-0.0485154818955226,0.22507144998793188,0.0,False,0.030339165904880214,0.0,-0.2735869318834545,1023.0520453996902,1022.7784584678068,short_exit_LB
16,long,2021-01-22 10:30:00+00:00,2021-01-22 15:30:00+00:00,0.027789706340192323,0.028542124068817485,204.55569169356136,5.53842948310742,0.2250112608629175,0.0,False,0.02523305335689463,0.0,5.313418222244502,1022.7784584678068,1028.0918766900513,long_exit_LH
17,long,2021-01-22 16:15:00+00:00,2021-01-22 16:45:00+00:00,0.028687756916935536,0.028488462759001264,205.61837533801025,-1.428433079918167,0.22618021287181128,0.0,False,0.026048483280577468,0.0,-1.6546132927899784,1028.0918766900513,1026.4372633972614,long_exit_LH
18,long,2021-01-22 18:00:00+00:00,2021-01-22 19:45:00+00:00,0.028505236701879908,0.028704156488550698,205.2874526794523,1.4325696264256387,0.22581619794739752,0.0,False,0.025882754925306957,0.0,1.206753428478241,1026.4372633972614,1027.6440168257398,long_exit_LH
19,long,2021-01-22 21:00:00+00:00,2021-01-22 22:30:00+00:00,0.0286905125046762,0.028697909928111297,205.52880336514795,0.05299255586154591,0.22608168370166276,0.0,False,0.026050985354245992,0.0,-0.17308912784011685,1027.6440168257398,1027.4709276978997,long_exit_LH
20,short,2021-01-22 22:30:00+00:00,2021-01-23 00:30:00+00:00,0.028697910180616223,0.02848459574106578,205.49418553957995,1.527458854786518,0.22604360409353796,-0.10520069334513256,False,0.03133811791723292,0.0,1.1962145573478475,1027.4709276978997,1028.6671422552477,short_exit_LB
21,short,2021-01-23 02:15:00+00:00,2021-01-23 03:15:00+00:00,0.02854831277279336,0.028525599162328625,205.73342845104952,0.16368564372269617,0.22630677129615448,0.0,False,0.031174757547890352,0.0,-0.06262112757345831,1028.6671422552477,1028.6045211276742,short_exit_LB
22,long,2021-01-23 03:15:00+00:00,2021-01-23 07:30:00+00:00,0.02852559905886621,0.029071345168326025,205.72090422553484,3.93581158046689,0.22629299464808833,0.0,False,0.025901243945450517,0.0,3.7095185858188016,1028.6045211276742,1032.314039713493,long_exit_LH
23,short,2021-01-23 18:15:00+00:00,2021-01-23 18:45:00+00:00,0.028958224812505394,0.029016311940115808,206.4628079426986,-0.414142494901581,0.22710908873696847,0.0,False,0.03162238149525589,0.0,-0.6412515836385495,1032.314039713493,1031.6727881298546,short_exit_LB
24,long,2021-01-23 18:45:00+00:00,2021-01-23 20:00:00+00:00,0.029016310924711436,0.02908060139167748,206.33455762597092,0.45716855927775607,0.22696801338856804,0.0,False,0.026346810319637985,0.0,0.23020054588918804,1031.6727881298546,1031.9029886757437,long_exit_LH
25,long,2021-01-23 21:45:00+00:00,2021-01-23 22:00:00+00:00,0.029345899189795587,0.029236135927241728,206.38059773514874,-0.7719309464234335,0.22701865750866362,0.0,False,0.026646076464334395,0.0,-0.9989496039320971,1031.9029886757437,1030.9040390718117,long_exit_LH
26,long,2021-01-23 23:15:00+00:00,2021-01-24 00:15:00+00:00,0.029093789374658563,0.029129065557364782,206.18080781436234,0.24999396789853956,0.22679888859579858,-0.006812213890186532,False,0.026417160752189976,0.0,0.016382865412554445,1030.9040390718117,1030.9204219372243,long_exit_LH
27,long,2021-01-24 03:45:00+00:00,2021-01-24 05:30:00+00:00,0.029677242420862362,0.02987388828144805,206.1840843874449,1.3662066757570097,0.2268024928261894,0.0,False,0.026946936118143024,0.0,1.1394041829308204,1030.9204219372243,1032.059826120155,long_exit_LH
28,short,2021-01-24 05:30:00+00:00,2021-01-24 07:30:00+00:00,0.029873886603775244,0.029961694966722435,206.41196522403104,-0.6067070214005664,0.22705316174643414,0.0,False,0.03262228417132257,0.0,-0.8337601831470005,1032.059826120155,1031.2260659370081,short_exit_LB
29,long,2021-01-24 07:30:00+00:00,2021-01-24 09:45:00+00:00,0.02996169373181106,0.03018537443140296,206.24521318740162,1.539735169385891,0.22686973450614178,-0.020624521318740163,False,0.027205217908484444,0.0,1.292240913561009,1031.2260659370081,1032.5183068505692,long_exit_LH
30,long,2021-01-24 10:30:00+00:00,2021-01-24 11:45:00+00:00,0.030428621852462756,0.030455178888691353,206.50366137011386,0.1802291685418567,0.22715402750712527,0.0,False,0.027629188642036184,0.0,-0.04692485896526857,1032.5183068505692,1032.471381991604,long_exit_LH
31,short,2021-01-24 14:15:00+00:00,2021-01-24 16:45:00+00:00,0.030144964788671274,0.029733101390142524,206.4942763983208,2.8212815987799393,0.2271437040381529,0.02064942763983208,False,0.032918301549229034,0.0,2.6147873223816185,1032.471381991604,1035.0861693139855,short_exit_LB
32,short,2021-01-24 18:00:00+00:00,2021-01-24 19:45:00+00:00,0.0298454179992093,0.029296804140772886,207.0172338627971,3.8053587802091364,0.22771895724907681,0.0,False,0.032591196455136556,0.0,3.5776398229600597,1035.0861693139855,1038.6638091369455,short_exit_LB
33,long,2021-01-25 01:15:00+00:00,2021-01-25 04:00:00+00:00,0.02994215852813307,0.030184605528785824,207.7327618273891,1.6820492415415704,0.22850603801012803,0.0,False,0.027187479943544826,0.0,1.4535432035314424,1038.6638091369455,1040.1173523404768,long_exit_LH
