trade_no,direction,entry_time,exit_time,entry_price,exit_price,notional,pnl,fees,funding,liquidated,liq_price_est,liq_loss,net_trade,balance_before,balance_after,exit_reason,stop_streak
1,short,2021-01-19 22:00:00+00:00,2021-01-20 00:15:00+00:00,0.031016212157287715,0.031079878945460434,200.0,-0.4105387714647743,0.2,0.02,False,0.03388521178183683,0.0,-0.5905387714647743,1000.0,999.4094612285352,short_exit_LB,0
2,short,2021-01-20 01:15:00+00:00,2021-01-20 02:15:00+00:00,0.030657391890687852,0.03058373689894797,199.88189224570704,0.48022020838575724,0.19988189224570704,0.0,False,0.03349320064057648,0.0,0.2803383161400502,999.4094612285352,999.6897995446752,short_exit_LB,0
3,long,2021-01-20 02:15:00+00:00,2021-01-20 03:00:00+00:00,0.030583737681625225,0.030904719085243455,199.93795990893506,2.098382077305508,0.19993795990893506,0.0,False,0.02775474194607489,0.0,1.8984441173965731,999.6897995446752,1001.5882436620718,long_exit_LH,0
4,short,2021-01-20 06:15:00+00:00,2021-01-20 12:15:00+00:00,0.030706277411212547,0.02976445503080824,200.31764873241434,6.144139266365935,0.20031764873241434,0.020031764873241435,False,0.03354660807174971,0.0,5.963853382506762,1001.5882436620718,1007.5520970445785,short_exit_LB,0
5,short,2021-01-20 14:15:00+00:00,2021-01-20 16:15:00+00:00,0.02981815321614823,0.03001713923571239,201.5104194089157,-1.3447431156524097,0.2015104194089157,0.02015104194089157,False,0.032576332388641945,0.0,-1.5261024931204337,1007.5520970445785,1006.0259945514581,short_exit_LB,0
6,long,2021-01-20 16:15:00+00:00,2021-01-20 20:15:00+00:00,0.030017127627589457,0.030108963305330232,201.2051989102916,0.6155757484906951,0.20120519891029162,0.0,False,0.02724054332203743,0.0,0.4143705495804034,1006.0259945514581,1006.4403651010385,long_exit_LH,0
7,long,2021-01-20 21:30:00+00:00,2021-01-21 00:15:00+00:00,0.030082454227721708,0.03028734805339751,201.28807302020772,1.3709879862798777,0.20128807302020774,-0.02012880730202077,False,0.027299827211657447,0.0,1.1495711059576492,1006.4403651010385,1007.5899362069962,long_exit_LH,0
8,short,2021-01-21 04:45:00+00:00,2021-01-21 05:30:00+00:00,0.02963544124022875,0.029910068023991494,201.51798724139923,-1.8674342068281053,0.20151798724139924,0.0,False,0.03237671955494991,0.0,-2.068952194069505,1007.5899362069962,1005.5209840129266,short_exit_LB,0
9,short,2021-01-21 06:45:00+00:00,2021-01-21 12:15:00+00:00,0.02980443463283179,0.02857461868195736,201.10419680258534,8.298132545120229,0.20110419680258534,0.020110419680258534,False,0.03256134483636873,0.0,8.117138767997902,1005.5209840129266,1013.6381227809245,short_exit_LB,0
10,short,2021-01-21 13:30:00+00:00,2021-01-21 16:15:00+00:00,0.028788763105624355,0.028782927874603077,202.7276245561849,0.04109112014781461,0.2027276245561849,0.02027276245561849,False,0.03145172369289461,0.0,-0.1413637419527518,1013.6381227809245,1013.4967590389717,short_exit_LB,0
